Quebec,"$2,664,000 ",27-Nov-18,Montreal,H2J 3L8,1959,"20,951 CAD (2018)",,0.049 Ac,,,"7,428"
Ontario,"$349,900 ",22-Nov-18,Brooke - Alvinston,NON 1A0,1977,,Walkout ,1.9 Ac,3,2,"2,880"
Ontario,"$764,900 ",30-Nov-18,Toronto,M2N0K3,2020,0 CAD (2018),,,2,2,781
Ontario,"$499,000 ",03-Nov-18,Bluewater,N0M2R0,1973,,Walkout ,0.47 Ac,3,2,"1,978"
Ontario,"$184,900 ",04-Oct-18,Chatham - Kent,N7M 4H9,1951,"1,528.09 CAD (2018)",Full Unfinished,,3,1,"1,270"
Ontario,"$1,225,000 ",10-Nov-18,Wasaga Beach,ON L9Z 2K6,2000,,Full ,0.252 Ac,7,5,"2,800"
Ontario,"$850,000 ",03-Oct-18,Mississauga,L5G 0A3,,"4,146 CAD (2013)",,,2,2,"1,097"
Ontario,"$449,000 ",30-Oct-18,Vaughan,L4J0E1,,"2,224.41 CAD (2018)",,,1,1,
Ontario,"$978,000 ",25-Sep-18,Lincoln,L0R 1S0,,,Unfinished,0.046 Ac,4,1,
Ontario,"$372,900 ",15-Nov-18,Perth,K7H 3L9,1996,,Full Fully Finished,0.174 Ac,4,2,
Ontario,"$175,000 ",03-Aug-18,Laurentian Valley,K8A 6P8,,"2,156 CAD (2017)",Full Partly Finished,0.169 Ac,3,1,
Ontario,"$479,990 ",02-Oct-18,Toronto,M3C1A4,,,,,3,2,
Ontario,"$400,000 ",25-Sep-18,Kitchener,N2A 4E1,,,,,1,2,
Ontario,"$499,900 ",28-Jun-18,Ottawa,K1G 1Y1,1958,,Full ,0.123 Ac,4,2,
Ontario,"$380,000 ",26-Sep-18,Kitchener,N2A 4E1,,,,,2,2,
Ontario,"$459,999 ",15-Oct-18,Mississauga,L5B0G8,,,,,2,2,
Ontario,"$399,800 ",19-Nov-18,Ramara,L0K 1B0,,,,,,,
Ontario,"$1,089,900 ",10-Oct-18,Waterloo,N2T 2Z4,2013,"7,016.26 CAD (2018)",Full ,0.165 Ac,4,3,"3,100"
Ontario,"$1,599,900 ",21-Sep-18,Oakville,L6M5B4,,"7,225 CAD (2018)",Full Fully Finished Basement With Nanny Suite ,0.129 Ac,5,5,"5,023"
Ontario,"$304,900 ",01-Jun-18,Treadwell,K0B1L0,1977,,Walkout ,0.485 Ac,3,2,
Ontario,"$499,000 ",03-Oct-18,Pickering,L1X 2S3,,,,,3,2,
Ontario,"$459,000 ",02-Apr-17,Tay,L0K 1R0,,"2,427.21 CAD (2016)",,0.215 Ac,,,
Ontario,"$354,900 ",13-Aug-18,Toronto,M6M1A2,,,,,1,1,407
Ontario,"$695,000 ",,Drummond - North Elmsley,K7H 3C8,,,,,4,3,
Ontario,"$529,000 ",01-Sep-18,Prince Edward,K0K 2T0,1930,,Full ,0.684 Ac,5,2,"2,700"
Ontario,"$169,999 ",13-Jun-18,Prince Edward,K0K 2T0,,367 CAD (2018),,8.3 Ac,,,
Ontario,"$1,250,000 ",18-Aug-18,Niagara-on-the-Lake,L0S 1J0,,"6,067 CAD (2018)",Part ,0.5 Ac,4,2,"3,300"
