Quebec,190000,28-Nov-18,Chateauguay,J6K2E3,1959,,,0.124 Ac,4,2,780.8249027,18-Nov,243.3324031,59,2018-11-28
Quebec,1332000,27-Nov-18,Montreal,H2J 3L8,1959,"10,483 CAD (2018)",,,,,3714,18-Nov,358.6429725,59,2018-11-27
Quebec,1332000,27-Nov-18,Montreal,H2J 3L8,1959,"10,480 CAD (2018)",,"2,150 Ac",,,3714,18-Nov,358.6429725,59,2018-11-27
Quebec,169000,29-Nov-18,Montreal,H8Z2Z6,1970,,,,2,1,969,18-Nov,174.4066047,48,2018-11-29
Quebec,1332000,27-Nov-18,Montreal,H2J 3L8,1959,"10,468 CAD (2018)",None,0.049 Ac,,,3714,18-Nov,358.6429725,59,2018-11-27
Quebec,249900,27-Nov-18,Litchfield,J0X1K0,2006,,Full Less Than Six Feet.,3.788 Ac,2,1,768,18-Nov,325.390625,12,2018-11-27
Quebec,184900,27-Nov-18,Val-des-Monts,J8N1M8,1950,,,0.456 Ac,3,1,954,18-Nov,193.8155136,68,2018-11-27
Quebec,438000,27-Nov-18,Gatineau (Gatineau),J8V0G4,2010,,,0.24 Ac,3,2,2000,18-Nov,219,8,2018-11-27
Quebec,2664000,27-Nov-18,Montreal,H2J 3L8,1959,"20,951 CAD (2018)",Walkout,0.049 Ac,,,7428,18-Nov,358.6429725,59,2018-11-27
Ontario,349900,22-Nov-18,Brooke - Alvinston,NON 1A0,1977,,,1.9 Ac,3,2,2880,18-Nov,121.4930556,41,2018-11-22
Ontario,764900,30-Nov-18,Toronto,M2N0K3,2020,0 CAD (2018),Walkout,,2,2,781,18-Nov,979.3854033,-2,2018-11-30
Ontario,499000,03-Nov-18,Bluewater,N0M2R0,1973,,Full Unfinished,0.47 Ac,3,2,1978,18-Nov,252.2750253,45,2018-11-03
Ontario,184900,04-Oct-18,Chatham - Kent,N7M 4H9,1951,"1,528.09 CAD (2018)",Full,,3,1,1270,18-Oct,145.5905512,67,2018-10-04
Ontario,1225000,10-Nov-18,Wasaga Beach,ON L9Z 2K6,2000,,,0.252 Ac,7,5,2800,18-Nov,437.5,18,2018-11-10
Ontario,850000,03-Oct-18,Mississauga,L5G 0A3,2018,"4,146 CAD (2013)",,,2,2,1097,18-Oct,774.840474,0,2018-10-03
Ontario,449000,30-Oct-18,Vaughan,L4J0E1,2018,"2,224.41 CAD (2018)",Unfinished,,1,1,780.8249027,18-Oct,575.0328895,0,2018-10-30
Ontario,978000,25-Sep-18,Lincoln,L0R 1S0,2018,,Full Fully Finished,0.046 Ac,4,1,780.8249027,18-Sep,1252.521528,0,2018-09-25
Ontario,372900,15-Nov-18,Perth,K7H 3L9,1996,,Full Partly Finished,0.174 Ac,4,2,780.8249027,18-Nov,477.5718586,22,2018-11-15
Ontario,175000,03-Aug-18,Laurentian Valley,K8A 6P8,2018,"2,156 CAD (2017)",,0.169 Ac,3,1,780.8249027,18-Aug,224.1219502,0,2018-08-03
